Date,Store Number,City,Zip Code,County Number,Category,Vendor Number,Item Number,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons),Margin,Price per Liter
2015-06-04,4345,GRINNELL,50112,79,1031080,55,35314,375,1.71,2.57,6,15.42,2.25,0.59,5.16,6.85333333333
2015-09-15,3830,CRESTON,50801,88,1031080,297,35916,750,3.37,5.06,12,60.72,9.0,2.38,20.28,6.74666666667
2016-03-09,4134,PLEASANTVILLE,50225,63,1031080,300,36908,1750,7.47,11.21,6,67.26,10.5,2.77,22.44,6.40571428571
2015-01-20,4344,GRIMES,50111,77,1011300,85,26820,375,6.77,10.16,1,10.16,0.38,0.1,3.39,26.7368421053
2016-01-14,4269,TIPTON,52772,16,1031080,297,35918,1750,7.2,10.8,6,64.8,10.5,2.77,21.6,6.17142857143
2015-05-19,2524,DUBUQUE,52001,31,1012100,260,11348,1750,16.0,24.0,6,144.0,10.5,2.77,48.0,13.7142857143
2015-03-11,3820,SIOUX CITY,51103,97,1081400,65,86112,1000,2.22,3.33,12,39.96,12.0,3.17,13.32,3.33
2016-01-27,2505,BOONE,50036,8,1062200,35,43120,1750,15.0,22.5,6,135.0,10.5,2.77,45.0,12.8571428571
2015-01-15,2616,CLINTON,52732,23,1011400,85,26906,750,27.09,40.64,2,81.28,1.5,0.4,27.1,54.1866666667
2016-03-30,4509,AMES,50010,85,1011300,85,86669,375,7.0,10.5,10,105.0,3.75,0.99,35.0,28.0
2015-03-05,2593,CARROLL,51401,14,1062300,370,42718,1750,16.49,24.74,12,296.88,21.0,5.55,99.0,14.1371428571
2015-07-14,2509,CEDAR RAPIDS,52404,57,1081010,55,73986,750,6.0,9.0,2,18.0,1.5,0.4,6.0,12.0
2015-04-15,3896,IOWA CITY,52240,52,1022100,395,87509,375,8.96,13.44,3,40.32,1.12,0.3,13.44,36.0
2015-07-14,3390,MILFORD,51351,30,1031080,461,37988,1750,17.15,25.73,6,154.38,10.5,2.77,51.48,14.7028571429
2015-10-26,3562,WEST BURLINGTON,52655,29,1032080,370,34006,750,11.49,17.24,12,206.88,9.0,2.38,69.0,22.9866666667
2015-03-12,2663,URBANDALE,50322,77,1081900,259,76478,750,8.83,13.75,6,82.5,4.5,1.19,29.52,18.3333333333
2015-09-01,4895,CEDAR RAPIDS,52402,57,1062300,65,44568,750,6.83,10.25,1,10.25,0.75,0.2,3.42,13.6666666667
2015-02-26,2592,MARSHALLTOWN,50158,64,1011200,259,17956,750,7.47,11.21,3,33.63,2.25,0.59,11.22,14.9466666667
2015-02-11,3952,BETTENDORF,52722,82,1042100,370,28087,1000,14.49,21.74,12,260.88,12.0,3.17,87.0,21.74
2015-04-02,2587,JOHNSTON,50131,77,1011200,65,19112,750,14.17,21.26,2,42.52,1.5,0.4,14.18,28.3466666667
2015-12-22,2500,AMES,50010,85,1031080,259,35418,1750,8.48,13.22,6,79.32,10.5,2.77,28.44,7.55428571429
2016-02-10,4874,MOUNT PLEASANT,52641,44,1011100,260,25606,750,7.0,10.5,2,21.0,1.5,0.4,7.0,14.0
2015-10-14,3757,SIOUX CITY,51108,97,1031200,205,40599,750,6.9,10.35,12,124.2,9.0,2.38,41.4,13.8
2015-05-22,2648,WEST DES MOINES,50265,77,1011300,260,26656,750,13.0,19.5,3,58.5,2.25,0.59,19.5,26.0
2016-03-22,2592,MARSHALLTOWN,50158,64,1062200,434,45278,1750,7.84,11.76,6,70.56,10.5,2.77,23.52,6.72
2016-03-30,2625,DAVENPORT,52804,82,1081600,421,86887,1000,12.97,19.46,36,700.56,36.0,9.51,233.64,19.46
2015-11-04,2290,STORM LAKE,50588,11,1071100,35,56843,1750,6.98,10.47,1,10.47,1.75,0.46,3.49,5.98285714286
2015-08-11,3645,WINDSOR HEIGHTS,50311,77,1022100,395,89206,750,15.46,23.19,12,278.28,9.0,2.38,92.76,30.92
2016-01-19,4388,CLIVE,50325,77,1062200,35,43123,200,2.5,3.75,12,45.0,2.4,0.63,15.0,18.75
2015-12-08,4634,CEDAR RAPIDS,52402,57,1011200,259,17956,750,6.81,10.55,4,42.2,3.0,0.79,14.96,14.0666666667
2016-02-02,2651,WAVERLY,50677,9,1081300,434,76526,750,5.3,7.95,2,15.9,1.5,0.4,5.3,10.6
2015-04-07,3629,COUNCIL BLUFFS,51503,78,1011300,85,26827,1000,17.9,26.85,12,322.2,12.0,3.17,107.4,26.85
2015-02-11,3721,DECORAH,52101,96,1041100,55,30058,1750,9.36,14.04,6,84.24,10.5,2.77,28.08,8.02285714286
2015-06-23,4637,CEDAR RAPIDS,52404,57,1052010,420,48106,750,18.99,28.49,2,56.98,1.5,0.4,19.0,37.9866666667
2015-07-14,3942,TOLEDO,52342,86,1031080,301,38178,1750,18.52,27.78,6,166.68,10.5,2.77,55.56,15.8742857143
2016-01-14,5102,MOUNT VERNON,52314,57,1081390,260,65066,750,13.0,19.5,12,234.0,9.0,2.38,78.0,26.0
